run_id	checkpoint_kind	proxy_docs	ttt_eval_seq_len	ttt_batch_size	ttt_slot_steps	ttt_slot_adapt_block	ttt_slot_lr	ttt_slot_update	ttt_slot_update_every	ttt_slot_update_first_k_chunks	ttt_slot_update_loss_threshold	val_loss	val_bpb	gain_vs_baseline_bpb
adamw_best_lr7e4	int6_lzma	128	1024	16	1	1	0.0007	adamw	1	0	0.0	2.30860761	1.38019458	-0.00249564
adamw_best_lr5e4	int6_lzma	128	1024	16	1	1	0.0005	adamw	1	0	0.0	2.30874175	1.38027478	-0.00241544
baseline_steps0	int6_lzma	128	1024	16	0	1	0.0003	adamw	1	0	0.0	2.31278199	1.38269022	0.00000000
